SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1906291N13135,1906-10-17 18:00:00,12.8085,134.225,WP,MM
1906300N16124,1906-10-27 06:00:00,16.4,123.719,WP,MM
1906307N15127,1906-11-02 18:00:00,14.8751,126.835,WP,MM
1906310N10140,1906-11-05 18:00:00,10.2919,139.156,WP,MM
1907009N10134,1907-01-09 12:00:00,10.6496,133.043,WP,MM
1907086N07150,1907-03-26 18:00:00,7.01822,149.639,WP,MM
1907150N18112,1907-05-29 18:00:00,18.2172,112.405,WP,MM
1907176N19123,1907-06-24 18:00:00,19.4732,123.175,WP,MM
1907177N18116,1907-06-25 18:00:00,17.868,116.159,WP,MM
1907193N15146,1907-07-11 18:00:00,14.9121,146.286,WP,MM
1907198N24143,1907-07-16 18:00:00,24.3058,141.907,WP,MM
1907202N20131,1907-07-20 18:00:00,20.9445,130.375,WP,MM
1907203N17116,1907-07-21 18:00:00,16.8102,116.077,WP,MM
1907213N18115,1907-07-31 18:00:00,18.4624,114.598,WP,MM
1907218N16126,1907-08-05 18:00:00,16.1258,125.617,WP,MM
1907224N20134,1907-08-11 18:00:00,20.0457,133.883,WP,MM
1907232N21128,1907-08-19 18:00:00,20.553,128.173,WP,MM
1907233N23145,1907-08-20 18:00:00,23.3121,144.16,WP,MM
1907236N21143,1907-08-23 18:00:00,21.4335,142.678,WP,MM
1907242N17118,1907-08-29 18:00:00,16.5395,117.443,WP,MM
1907247N21127,1907-09-03 18:00:00,20.6768,127.151,WP,MM
1907255N20119,1907-09-11 18:00:00,19.5768,119.155,WP,MM
